OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
Q03064	Q80ZW0	Q08BL3	Q9BYK8	Q61362	Q9NXG6	D3Z6Q9	Q3ZB90	Q9NXG6	B5XBP5
P62309	Q08DK4	Q5R7Z5	P47900	P69478	Q3ZB90	Q6DRP2	Q9BYK8	Q9BYK8	P62309
A4Z943	Q40375	Q9UBC3	Q1LXK4	B5XBP5	P17036	Q5R7Z5	Q1LXK4	P17036	A4Z943
Q4R8M9	Q01635	P41512	Q4R8M9	P84104	Q7RTR2	Q9UBC3	Q4R8M9	Q7RTR2	Q04202
B9X187	Q9ESN2	Q5VWQ0	Q9BYL1	Q4KLM6	Q6AZB8	P41512	Q9BYL1	P79819	Q8NG04
P79782	Q62735	Q68D51	Q0IHM1	Q7ZYP0	Q64H34	Q5VWQ0	Q99LJ2	Q6AZB8	Q04913
Q25008	Q8C0Q3	Q7M3E1	Q99LJ2	Q8AY32	Q7ZZL8	Q8N4S7	Q9YGZ9	O77808	B9X187
Q08DJ7	Q14500	P02264	P55211	B0FWK4	Q40375	P25685	Q13231	O14686	P79782
Q5RBD4	P02264	Q8N4S7	Q8K120	A2BE28	O77808	Q9NQ55	O02751	P30873	Q25008
Q9BUV8	Q65Z54	Q9PT84	Q9YGZ9	Q503D6	Q8BHD8	Q96D21	Q65Z54	O75051	Q9NWT8
P20664	P52191	Q6PC60	O95243	P62309	P30873	Q5F3X4	Q6GLJ1	Q4R8M9	Q5YJC1
G1TGF1	P02264	Q9I8F9	Q8R5F3	A4Z943	A2BGD5	Q96DM1	Q9NUV9	Q6VZZ7	Q3YL68
Q3KRG3	Q01167	Q91233	O02751	Q8NG04	Q1LXK4	O93337	Q8NHV1	Q91233	Q5RBD4
Q07984	Q90ZY4	Q91233	Q7RTR2	O42503	Q9WV35	Q8AV13	Q9UJ37	Q6INN8	Q9BUV8
Q90955	Q800Y2	Q9NQ55	Q58CZ2	B9X187	Q4R8M9	A0AVT1	Q9CZV8	O15083	P41512
P13207	O73688	Q96RE7	Q5REG4	P79782	Q6VZZ7	O89033	Q3SZK8	Q52LC2	Q08BH7
Q588U8	O95477	A1L2K1	Q65Z54	Q25008	Q0IHM1	Q7T292	P70699	Q9NUU7	P20664
Q8N4B1	Q1ZZS1	Q1ECZ4	Q8CEF8	P08645	P50282	P21328	P04323	Q7RTR2	G1TGF1
Q66HX0	Q9JID1	A9JRZ0	A0A0R4IBK5	Q9UBC3	Q0VBL3	Q1RLU1	Q501J6	P81660	Q6UWW8
A1A4P4	Q8BGY9	O95785	Q8NHV1	Q9NWT8	Q91233	P25685	Q5EZ72	Q5GH72	O02697
Q8VCS6	A6NE01	Q96DM1	Q9UJ37	Q2KJJ0	Q52LC2	Q8R555	P31646	Q52PG9	Q9D287
Q6NY34	Q05481	O93337	Q66I74	Q08DJ7	Q95SX7	Q1ED39	Q96HM7	P46896	Q7M3E1
Q9BSY4	O88582	Q8AV13	Q9UKN7	Q3YL68	Q8AW35	Q9BXJ9	Q08CX5	A8MY62	P00774
Q3UPE3	O73746	A0AVT1	Q8VCI0	Q5RBD4	Q9NUU7	Q6R2W3	Q9Y3C5	P49263	O43447
O35047	Q90339	O89033	Q501J6	Q9BUV8	O95243	Q5RGE6	O95477	O88278	Q6DBR6
Q6PFL6	Q8BGE9	P01130	Q5EZ72	P41512	A1L1R5	Q9JIH2	Q5CZR5	P0CT39	P22735
Q2HJ98	Q80T02	A7Z019	P21927	Q08BH7	O00305	Q8K4L0	Q91453	G3V6S8	Q07984
O94778	P59055	Q9N126	P31646	Q6DBQ8	Q4V920	O92815	Q6DHQ3	Q8IWR0	Q90955
Q90303	Q80ZU9	Q1RLU1	A5PJX7	Q9Y7Y8	A8D7K2	Q6NX08	Q3ZKN0	Q6PG95	P13207
Q5EZ72	Q9TU17	Q8R555	Q5K651	P53996	Q7RTR2	Q6PEH4	A5PMF6	Q65Z54	O70454
Q3UV16	Q6ZQT0	E7F594	Q96HM7	P20664	Q7RTR2	P48722	A5PMF7	Q4V922	P02264
Q9BSF4	P14381	Q9BXJ9	Q9Y3C5	G1TGF1	P10394	Q7TP47	Q9NP73	Q8NHV1	P02264
P26583	A0JPI9	Q6R2W3	O95477	Q04202	P81660	Q7ZXY0	Q01703	A0A1B0GRQ0	Q99MS3
Q7SXS8	Q92786	Q8NFU1	P18545	Q6UWW8	Q52PG9	Q5ZJH9	Q7RTR2	Q91233	Q588U8
Q6GPW2	Q8K1S5	Q05481	Q5CZR5	O02697	Q58CZ2	Q695T7	O88582	Q9UJ37	Q66HX0
Q0P4D6	Q8BGW8	Q5RGE6	Q4QY71	Q8TCT9	P46896	Q71MM5	Q9H0J9	Q9Y661	Q6PC60
Q05B51	Q96BM1	Q9JIH2	Q91453	Q3KRG3	A8MY62	Q502L2	Q8C5H1	Q3TN34	P02264
Q91Z53	B5X392	Q5U3U7	Q8TAU0	P20825	M0RAS4	Q9EQM6	Q86T96	A7E2Z2	O75947
F8RT80	P13944	P48722	Q6DHQ3	Q9D287	P21328	O54992	Q29RW1	P21328	Q8VCS6
P00718	Q15466	Q5U3G1	O95237	Q9BXS9	Q60710	A8MVU1	Q90339	Q9UKN7	Q5R1W5
P49684	Q9Y5R5	Q7ZXY0	A5PMF6	Q7M3E1	A2AP18	Q6DRL5	Q6EKJ0	Q15818	Q6NY34
Q28CF8	P35408	Q8JZR4	Q7RTR2	Q498C8	P0CT39	Q9R099	Q62158	Q8VCI0	Q28HC6
Q80UM7	Q96EH8	Q5ZJH9	Q86UN3	O43447	G3V6S8	B0R160	Q7RTR2	Q9UJW8	P84610
P62313	Q76LX8	Q9Y2W1	A6NE01	Q6UPE0	O95685	P34932	Q8C0E3	Q501J6	O14562
Q9H773	Q09575	Q9EQM6	Q7RTR2	Q6DBR6	Q9NTX9	A9JRI0	Q6PHG2	Q9EQQ8	Q3UPE3
Q5XGB9	P14381	P83829	Q1RMB5	P22735	Q8IWR0	A3KPP4	Q7RTR2	Q28009	O35047
O95237	Q7RTR2	P49290	Q9H0J9	Q5I598	P06350	Q3ZBL5	Q7RTR2	P14381	Q6PFL6
Q99J36	F1QWM2	A8MVU1	Q1XHU0	P24802	P35561	P50615	P0CT40	Q9UJ78	Q9WV84
Q5MB13	P29773	O94972	Q9H0J9	Q07984	Q6GLJ1	Q8VEJ4	Q7RTR2	P09815	Q96AY3
Q8N4B5	O93367	P34932	O89049	Q90955	Q9PT84	P01214	Q7RTR2	Q9P273	A8KBL7
Q1RLU1	Q02343	A9JRI0	Q5SVZ6	Q99L45	A5D6R3	Q04202	Q6ZQT0	Q96HM7	Q02373
Q6DC61	P59913	A3KPP4	P50151	P13207	P31321	Q7SYM0	Q6PBT6	Q9HAR2	Q90303
Q8K2W3	Q9C009	P42688	Q2YDP8	Q5ZLN5	A6QLK6	P30664	Q8CDF7	Q8VBX6	Q8AWY9
P08579	P27925	P01214	P0CT40	Q6VFT6	Q4V922	Q5ZI74	Q6PE65	Q64487	A5PJX7
Q5R5Y3	P27092	Q04202	Q86T96	O70454	Q7TQH0	Q04637	Q5RDU7	Q9Y2H9	Q8AV13
B7F958	Q28084	O15054	Q6EKJ0	E9Q7T7	Q9UJ37	Q14566	Q6ZNE5	P18545	Q9BUU2
C1JZ66	Q7SIB3	Q5ZI74	Q80T02	B5FXN8	Q01167	Q0VC00	Q7RTR2	Q4QY71	Q9BSF4
Q9BX93	Q56A24	Q04637	Q62158	Q9WV85	P17141	O43615	F1QUP1	Q866Y3	P26583
Q6R2W3	P55918	P0CT40	Q9M2U3	P02264	Q92633	Q9Z0J7	Q7RTR2	Q15034	P29540
Q6DI06	Q8IYA7	Q8CBH7	Q7RTR2	Q99MS3	Q9Y661	P55918	Q7RTR2	Q8TCQ1	Q6GPW2
Q8BGW2	A4Z944	Q497L9	Q7RTR2	Q588U8	O95466	Q5ZM39	Q5RDN9	P98160	P60003
P62321	P31422	Q5ZM39	Q5R5U3	Q6AZI2	A7E2Z2	Q9GLD3	Q9QXM1	A5PMF6	Q05B51
Q5RH02	B5XG43	P22680	Q6MFZ5	Q66HX0	P21328	P22680	P70079	A5PMF7	Q6ZMP0
Q9CXI5	Q8BR07	Q99MV5	Q6NT55	P02264	Q9UKN7	Q08CA1	A1L3X0	Q9P2K3	F8RT80
Q6MFZ5	A4IFA3	Q504N0	Q6PHG2	A1A4P4	Q2TA57	Q8N0U4	P35763	Q8VCW4	Q9UMS6
O43309	Q5DRC1	A6NNN8	Q6PHG2	O75947	Q7ZU45	P38532	Q7SXB3	P62697	Q8VDW0
O35462	P28562	P52950	Q7RTR2	Q8VCS6	P22670	Q7ZU29	Q7RTR2	A6NE01	Q5YB40
