OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
115550997	115553330	115560312	115546110	115544204	115539958	115561140	115548244	115542731	115545802
115551261	115553848	115528947	115545774	115544219	115540157	115529966	115548643	115541588	115546187
115551699	115554061	115561140	115546105	115544251	115540492	115529580	115549158	115542887	115545724
115551490	115554413	115560891	115545254	115544376	115539990	115529573	115549208	115542949	115545937
115552242	115554514	115560838	115545447	115544332	115539989	115530696	115549269	115541867	115545178
115551964	115555718	115529966	115546171	115544399	115540526	115531282	115548506	115541818	115545618
115552116	115556255	115529820	115545954	115543638	115540528	115531353	115549396	115542370	115545213
115552020	115555398	115529140	115545237	115545498	115540550	115532146	115549327	115542359	115545855
115554913	115555045	115529580	115545461	115545767	115540861	115532088	115548167	115542407	115546131
115553828	115555323	115529582	115546781	115545632	115540100	115532315	115550749	115542289	115545089
115554216	115556562	115529578	115546826	115546163	115540195	115532423	115550338	115541733	115545090
115553333	115557076	115529573	115546816	115546007	115542913	115532397	115551065	115542301	115545798
115553610	115557402	115530696	115547759	115545802	115542915	115532349	115550307	115542278	115545454
115554589	115557624	115532418	115547401	115545294	115541513	115532127	115551164	115542369	115546514
115554220	115557765	115532423	115547918	115546188	115541492	115532662	115552698	115542358	115546890
115554548	115557438	115532397	115546505	115546187	115542663	115532319	115552592	115542385	115547724
115555435	115557016	115532297	115546504	115545807	115542676	115532238	115552807	115542330	115548053
115555617	115557405	115532662	115546517	115545724	115541288	115532966	115552207	115542307	115548059
115555511	115557531	115532319	115547898	115546138	115541283	115533377	115552246	115541749	115548050
115555127	115556579	115532966	115546627	115545668	115543134	115534053	115552268	115542419	115547863
115555155	115557060	115534761	115547950	115545178	115542602	115534212	115552533	115542300	115546645
115556326	115556751	115534053	115547499	115545618	115541257	115534218	115554449	115542318	115546711
115555319	115557300	115534723	115546478	115546137	115542731	115535947	115553348	115542334	115546549
115555314	115558833	115533993	115547251	115545834	115542947	115537447	115554770	115541597	115546555
115555307	115559142	115534588	115549091	115545468	115542005	115537499	115553949	115541332	115547374
115555478	115558644	115535930	115548244	115545089	115542887	115538026	115554288	115541335	115547513
115555781	115558593	115535947	115549522	115545798	115541384		115554758	115541328	115548049
115557568	115560090	115536085	115548841	115545454	115541996		115553583	115541312	115547887
115557580	115560454	115537499	115548375	115547946	115541613		115553732	115541310	115547253
115557450	115561788	115538026	115548239	115546890	115542949		115553534	115543070	115547244
115557604	115561366	115538017	115549208	115546891	115541591		115554539	115543010	115549384
115557620	115560838	115539047	115548506	115548053	115542208		115556249	115543009	115548792
115557683	115529104		115548872	115548059	115541341		115556239	115542983	115548424
115556693	115529267		115549396	115548050	115542370		115555797	115543011	115548512
115557323	115529361		115549327	115547863	115542359		115555253	115542970	115548805
115557326	115529663		115548167	115546863	115542289		115555887	115542981	115548527
115559205	115531645		115550730	115546619	115541733		115556335	115541786	115549390
115558920	115530910		115551372	115546629	115542301		115556337	115542993	115548363
115558955	115531579		115550591	115547461	115542278		115556338	115542968	115548709
115559281	115531354		115550597	115547836	115542369		115555334	115542980	115549459
115559229	115531330		115550338	115547775	115542327		115556025	115542161	115548744
115558577	115533486		115551501	115546555	115542358		115555640	115542160	115549052
115558456	115533608		115551065	115547374	115542272		115555037	115541532	115549396
115558950	115533134		115550304	115547513	115542330		115555609	115542796	115549388
115558343	115533571		115552592	115547506	115541749		115555905	115541400	115549711
115558646	115534294		115552807	115547982	115542419		115557216	115541902	115550917
115558616	115534052		115552365	115547887	115542314		115556801	115543739	115550597
115560312	115534728		115551906	115547644	115542351		115556930	115543711	115551077
115559503	115534369		115552070	115547253	115542318		115556734	115544260	115550291
115559572	115534182		115552268	115547221	115542326		115557526	115544544	115551139
115559864	115533993		115552533	115549678	115542037		115557452	115544265	115550351
115560685	115536252		115553680	115549593	115541597		115557604	115544437	115551676
115560674	115535619		115553681	115549705	115541332		115557016	115543396	115551677
115561337	115535930		115553696	115549708	115541313		115556981	115544121	115550509
115561500	115537484		115554449	115549700	115541323		115557282	115544054	115551015
115528869	115537671		115553348	115549384	115541335		115556858	115543626	115551027
115528938	115537211		115553987	115548792	115541328		115556579	115543627	115550690
115561155	115537444		115554288	115548440	115541312		115559168	115544462	115550882
115560949	115536892		115554758	115548870	115543083		115558236	115545943	115551228
115560952	115538206		115553583	115548805	115543070		115559281	115545758	115551498
115560957	115538204		115554162	115548806	115543058		115558967	115545765	115551699
115561677			115553732	115548527	115543006		115558714	115546108	115552123
115561709			115554610	115549191	115542970		115559787	115546109	115552657
115560886			115554539	115548694	115543004		115560063	115545254	115552332
115530052			115554742	115549372	115542969		115560363	115545811	115552777
115530053			115555600	115548170	115541786		115560434	115546171	115551964
115531326			115556239	115549045	115542993		115560272	115545184	115551963
115531399			115555253	115549132	115542199		115561769	115545342	115552070
115531162			115555887	115548709	115542757		115560668	115545053	115552118
115531272			115555418	115549449	115542161		115561337	115545186	115552020
115532138			115556247	115548744	115541532		115560756	115546139	115552576
115532452			115556338	115549052	115542796		115561648	115545236	115554769
115532524			115556115	115549396	115541902		115528967	115545073	115554199
115532499			115555159	115549711	115543554		115561651	115546182	115554277
115531843			115555155	115550513	115543562		115561476	115546733	115554224
115532366			115556025	115551347	115543739		115561079	115546578	115553993
115532645			115555640	115550762	115544289		115560943	115546579	115554217
115532377			115555037	115550597	115544356		115561761	115547420	115554215
115532162			115555609	115550291	115544551		115529267	115546652	115553834
115532982			115555905	115551240	115544022		115529503	115546816	115554596
115533095			115555314	115550351	115544544		115529471	115547401	115553297
115533414			115555359	115551676	115544264		115529348	115547866	115553902
115533101			115557216	115551677	115543970		115529227	115547918	115553249
115533056			115557526	115551680	115544265		115529939	115546730	115553282
115533087			115557452	115550338	115544012		115531685	115546515	115553281
115532934			115557136	115550337	115544366		115531073	115547563	115553277
115532710			115556981	115550352	115543396		115531573	115546471	115553290
115534283			115557282	115550927	115543737		115531645	115547639	115554685
115534249			115556612	115550484	115544121		115531122	115547625	115553516
115534033			115557323	115551015	115543799		115531388	115546929	115553541
115534637			115557326	115550690	115543626		115531538	115546647	115553352
115534460			115556858	115550765	115544457		115530704	115547997	115553452
115536413			115557721	115551115	115544474		115531639	115546677	115556303
115535246			115557348	115550653	115544491		115531545	115547299	115556046
115536319			115556594	115550882	115544030		115531162	115547298	115555245
115536406			115558534	115550697	115545714		115530612	115547621	115555913
115535524			115558662	115550997	115545765		115531634	115547135	115556266
115536061			115558240	115551250	115546108		115532211	115547215	115556025
115535992			115558198	115550815	115545707		115532539	115547235	115555312
115535969			115558943	115551697	115545666		115532558	115547159	115555307
115536377			115558714	115551490	115545912		115532556	115548562	115555270
115535986			115558944	115552657	115545447		115532512	115548402	115556314
115535772			115559787	115552332	115546171		115532676	115549645	115555998
115536361			115560063	115551910	115545184		115531925	115549193	115556385
115537032			115559925	115552242	115545587		115532366	115549085	115557538
115537141			115560077	115552275	115545762		115532323	115548344	115556525
115537145			115560399	115551964	115545601		115531825	115549426	115557588
115537182			115559889	115551965	115544943		115532729	115549099	115556541
115537616			115560434	115551963	115546082		115533682	115548675	115557235
808445			115560272	115551958	115546139		115532937	115549367	115556803
808456			115560388	115552350	115545237		115533200	115549286	115556602
808450			115560419	115552020	115545088		115533517	115549326	115557516
			115560418	115554199	115545078		115534251	115549327	115556869
			115561625	115554913	115546733		115534020	115548167	115556770
			115561769	115554274	115546578		115534633	115550736	115556912
			115560668	115554066	115546579		115534205	115550568	115557769
			115560756	115554224	115547423		115534663	115551377	115557485
			115561676	115554418	115547420		115534179	115550748	115557620
			115528753	115554262	115546652		115533909	115550587	115557685
			115561476	115554215	115546826		115534142	115550708	115557610
			115561079	115553834	115546816		115534013	115550319	115557398
			115560933	115554698	115546833		115535428	115551501	115557773
			115560943	115553904	115547633		115535233	115551004	115557063
			115560988	115554294	115547884		115536207	115551514	115559205
			115561761	115554125	115547448		115535524	115551164	115559170
			115529267	115553610	115547401		115535603	115551264	115558843
			115529471	115553902	115547866		115535223	115551182	115559077
			115529536	115553500	115547397		115537032	115551447	115558974
			115529469	115554630	115547918		115537638	115552711	115559329
			115529861	115553907	115546730		115537569	115552360	115559240
			115529227	115553282	115547069		115537706	115552362	115558222
			115529705	115553281	115546515		115537591	115552728	115559135
			115529816	115553277	115547944		115537135	115552592	115558705
			115531685	115554685	115547268		115537061	115552401	115558332
			115531326	115553870	115547563		115536944	115552636	115558182
			115531513	115553516	115547979		115539281	115552380	115558272
			115531538	115554105	115546471		115550931	115552200	115559576
			115531373	115553886	115546745		115560026	115552181	115560295
			115530778	115553352	115546879			115552160	115559876
			115530616	115553452	115547898			115552186	115559623
			115530615	115554560	115546955			115552765	115559795
			115531545	115556353	115546565			115552766	115559818
			115531162	115556046	115546647			115552456	115560233
			115531163	115555251	115547997			115552451	115528883
			115531166	115555245	115547876			115552771	115560694
			115531121	115555913	115546677			115552222	115561384
			115532211	115556108	115547524			115552874	115560952
			115532556	115555514	115547547			115552353	115528880
			115532500	115555511	115547546			115552669	115561677
			115532232	115556266	115546852			115552578	115561357
			115532676	115555128	115547299			115553680	115528874
			115532366	115555127	115546478			115554462	115561709
			115532323	115555347	115546638			115553348	115561225
			115532937	115556326	115547153			115554156	115530109
			115533200	115555822	115547215			115553848	115529374
			115533144	115555307	115547159			115554501	115529431
			115534251	115555270	115548562			115553377	115529823
			115534317	115556385	115548210			115553262	115529588
			115534020	115557728	115548206			115554162	115529878
			115534637	115557729	115548212			115553407	115531427
			115534633	115557538	115548209			115553360	115531259
			115534563	115557590	115548435			115554538	115531197
			115534205	115556541	115548402			115554506	115531077
			115534663	115556734	115549420			115554565	115530803
			115534179	115557639	115548857			115555689	115531289
			115534013	115557580	115549146			115555602	115531468
			115535452	115556747	115549283			115556239	115532692
			115535428	115557461	115548798			115555939	115532677
			115535447	115557428	115549179			115555887	115531851
			115535889	115556803	115549193			115555402	115532452
			115535233	115557007	115549085			115555123	115532512
			115535675	115556602	115548353			115555888	115531869
			115535524	115557516	115548780			115555640	115531843
			115535865	115556723	115548986			115555037	115532647
			115535603	115557150	115549426			115555609	115532274
			115535843	115557485	115549099			115555905	115531965
			115535223	115557620	115549367			115555304	115532599
			115536361	115557398	115548958			115555088	115533721
			115537638	115557245	115549112			115555063	115533674
			115537715	115557063	115548489			115555065	115533675
			115537706	115559205	115549286			115555067	115533498
			115536920	115559198	115549114			115556268	115533041
			115537077	115558511	115549326			115555074	115533096
			115537591	115558920	115548167			115555441	115533760
			115537657	115559170	115550736			115555077	115533619
			115537137	115558742	115550568			115556562	115533464
			115537135	115558843	115551369			115557366	115532853
			115537230	115559378	115550748			115557079	115532726
			115537061	115558235	115550752			115557081	115532896
			115537727	115558955	115550588			115557085	115533448
			115537701	115559281	115550860			115557799	115533404
			115538924	115559229	115550670			115556531	115534033
			115539281	115558974	115550708			115556943	115534944
			115560026	115559304	115551280			115557526	115534815
				115558222	115550723			115557764	115534184
				115559576	115550726			115557765	115533973
				115559581	115550793			115557041	115534222
				115560312	115551004			115557736	115534021
				115560295	115551514			115556810	115534092
				115559881	115551314			115556981	115533989
				115560285	115551164			115557686	115534588
				115559503	115551264			115556612	115536026
				115559795	115550386			115556857	115536412
				115559681	115551447			115556856	115536413
				115559783	115552711			115556855	115536263
				115559861	115551881			115556858	115535267
				115560240	115552360			115556548	115536117
				115560233	115552362			115557898	115535246
				115528974	115552728			115558830	115536406
				115528776	115552881			115558875	115536061
				115560699	115551919			115559203	115536254
				115528999	115552736			115559168	115535624
				115529003	115552401			115559290	115535986
				115529000	115552085			115558857	115537028
				115561337	115552631			115558204	115537032
				115528869	115552491			115558936	115537708
				115561384	115552764			115558199	115537050
				115561155	115552198			115558715	115537061
				115560845	115552184			115559035	115537731
				115561677	115552200			115559024	115537701
				115529007	115552170			115558593	115537388
				115529006	115552177			115558919	115537454
				115561355	115552181			115559225	115538278
				115560620	115552179			115560293	808449
				115528874	115552160			115560063	808446
				115560961	115552186			115559443	808447
				115560849	115552205			115559438	115540283
				115561709	115552173			115559730	
				115560838	115552765			115560057	
				115561225	115552766			115559567	
				115561409	115552456			115560281	
				115561726	115552768			115560371	
				115529524	115552451			115559947	
				115529924	115552771			115560067	
				115529528	115552774			115559738	
				115530109	115552744			115528915	
				115529374	115552222			115528774	
				115529431	115552874			115561786	
				115530065	115552268			115561044	
				115529356	115551871			115560669	
