Convex	Concave
Q56A55	Q3L8U1
Q6GLL2	P49760
Q3SZB4	Q9D2L5
P15651	Q09YI1
A6QP15	Q7T346
Q9NUQ2	P04927
Q4R8C7	Q99JZ7
Q9WTP7	P29773
Q2KJC9	P78312
P51122	A7MB89
Q68G58	Q4KME6
Q66IV5	Q9I919
Q8N9N2	Q4V328
Q6IE75	Q9UHL9
Q13145	Q14B48
Q6DC66	Q03164
Q5ZLK8	Q03141
Q96EE4	Q5TF21
P49715	Q9I8F9
Q5SPB6	Q6MGA9
Q9BSY4	Q62645
Q7ZW02	Q9PT84
Q6UXS0	Q9H2F5
Q29238	O60315
Q28678	O55005
P83436	Q13625
A4IG53	Q8BGY9
P36551	Q8IXJ9
Q9Y394	P24587
Q9NSV4	P18583
Q91WN1	O73746
P42867	P59055
Q925U4	Q96KQ4
A5WVX1	Q0IHU9
Q921G7	Q96EH8
Q5U247	Q498W5
Q9UBQ6	Q9C009
Q5CZQ0	Q8C419
Q28DE0	Q5ZM39
Q7TMV3	G5E8P1
Q9GKT2	P35710
Q05B51	P58006
Q6ZM51	P09593
Q9H9S5	P52794
Q9PWH2	Q08462
Q99L27	P42336
O35166	Q8IZY2
Q91Z53	Q96P50
Q4R8M9	Q66HE5
Q60587	Q9C0K0
Q9GZV7	Q8CBH7
P70312	Q9PTA0
P22907	Q96KR7
Q5TZ80	O96006
Q7T3H9	Q9WU22
Q6NV04	Q2VB19
Q6DDG2	P22448
Q63ZU3	Q8BGE9
P27601	P14381
Q5ZL55	Q2KN94
Q7SXW0	Q0VGY8
Q0P4F7	Q7Z6R9
P54855	Q9C0I4
P21328	Q71LX4
Q29RK4	P70399
Q5RFA3	A4IFA3
Q7ZV60	
P30436	
Q9JI99	
P10394	
Q9Y6A2	
O88819	
Q5ZIR1	
P25916	
Q12891	
Q8BGW2	
Q9D1F3	
Q92747	
Q8N4B5	
Q1JQ73	
O73755	
P79782	
Q3T1J9	
P04323	
Q64471	
Q8VCC1	
Q5BL33	
Q7RTR2	
Q7ZV03	
Q5R5U3	
Q9NUQ9	
Q2L6L1	
Q4JF29	
Q9YHX4	
P49585	
Q8BVA4	
P24456	
Q803G5	
B0VYY5	
Q96H86	
A2AJN7	
Q5ZI49	
Q24JV9	
A0A2Y9HKB5	
Q9NRA0	
Q4R4R6	
P27808	
O19094	
P52624	
Q3S8M4	
P09495	
I6YDK7	
Q96BX8	
Q98UK5	
A3KMV5	
A0PJX8	
P70691	
P80236	
O14975	
Q1LWL2	
Q5R7K1	
P14381	
Q9JHY7	
Q5HZE2	
Q0P5B7	
B2RZD7	
Q96S90	
Q6P5P5	
Q8N6F8	
Q5RF14	
Q5ZIJ2	
Q99551	
P55780	
P55781	
Q503P2	
Q8JZU0	
Q8R5F3	
Q32NK7	
Q3ULW8	
Q9HBH1	
O00264	
P56673	
Q9EPR2	
F1QF89	
Q4R543	
Q9HAB8	
Q501V0	
O75832	
Q95SX7	
Q52NJ2	
Q8CFV9	
Q9NQG5	
P62071	
Q5R548	
Q8WTV0	
Q5XIY4	
Q8N3Y7	
Q62419	
Q96BI1	
Q6J329	
Q9Y6M5	
Q8VCX2	
Q96K37	
Q9DBG7	
Q62876	
Q3B7D3	
Q2YDP8	
Q9ERE8	
Q5RDY2	
Q3ZBE6	
Q9BU79	
Q9BRR3	
Q0VC74	
Q5T4D3	
P02767	
Q5ZIW1	
Q8K2W3	
A1L259	
Q66L58	
Q1LWX3	
Q1JPJ2	
Q0VC80	
